Transaction_Date,Customer_Name,Country_Code,Item_Name,Item_Rate,Item_Quantity,Item_Amount,Tax_Amount,Total_Amount,Total_Sales_Value
2025-10-27,test1,INDIA,Laptop,45000,1,45000,0.0,45000.0,"45000, 45000.0"
2025-10-27,test2,INDIA,Mouse,500,2,1000,0.0,1000.0,"1000, 1000.0"
2025-10-27,test3,INDIA,Mobile Phone,25000,1,25000,0.0,25000.0,"25000, 25000.0"
2025-10-27,test4,INDIA,Charger,800,1,800,0.0,800.0,"800, 800.0"
2025-10-27,test5,USA,Tablet,30000,1,30000,0.0,30000.0,"30000, 30000.0"
2025-10-27,test6,USA,Headphones,1500,1,1500,0.0,1500.0,"1500, 1500.0"
2025-10-27,test7,INDIA,Keyboard,3500,1,3500,0.0,3500.0,"3500, 3500.0"
2025-10-27,test8,INDIA,Pen Drive,600,3,1800,0.0,1800.0,"1800, 1800.0"
2025-10-27,test9,UK,Monitor,15000,1,15000,0.0,15000.0,"15000, 15000.0"
2025-10-27,test10,UK,Cable,200,5,1000,0.0,1000.0,"1000, 1000.0"
